,id_offre,entreprise,type_contrat,localisation,modalites_de_tetetravail,url,duree_du_contrat,tag recruteur_reactif,titre_job,date_publication
344,30474234,CS GROUP,CDI,Le Plessis-Robinson - 92,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/30474234.html,,,                         Ingénieur en Calcul Thermo Mécanique H/F                     ,                         20/04/2023                     
345,33010938,CS GROUP,CDI,Pau - 64,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33010938.html,,,                         Développeur Informatique Industrielle H/F                     ,                         17/04/2023                     
346,33010839,CS GROUP,CDI,Pau - 64,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33010839.html,,,                         Ingénieur Aéronautique H/F                     ,                         17/04/2023                     
347,33010829,CS GROUP,CDI,Mérignac - 33,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33010829.html,,,                         Ingénieur V&V Embarqué H/F                     ,                         17/04/2023                     
348,34347104,IT Link,CDI,Strasbourg - 67,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34347104.html,,,                         Ingénieur.e Système Windows - Intermédiaire H/F                     ,                         18/04/2023                     
349,34518584,IT Link,CDI,Lyon - 69,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34518584.html,,,                         Architecte Système et Réseau H/F                     ,                         21/04/2023                     
350,34435175,IT Link,CDI,Metz - 57,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34435175.html,,,                         Ingénieur.e Développement c Embarqué - Intermédiaire H/F                     ,                         20/04/2023                     
351,31636992,CGI,CDI,Toulouse - 31,Télétravail occasionnel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/31636992.html,,,                         Consultant Sénior Data & Data Science H/F                     ,                         18/04/2023                     
352,34503501,IT Link,CDI,Lyon - 69,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34503501.html,,,                         Ingénieur en Signalisation Ferroviaire H/F                     ,                         21/04/2023                     
353,34326020,Abylsen,CDI,Clermont-Ferrand - 63,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34326020.html,,"
    
    Super recruteur
",                         Ingénieur Systèmes Embarqués H/F                     ,                         18/04/2023                     
354,33269269,CS GROUP,CDI,Pau - 64,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33269269.html,,,                         Techlead Nodejs - Angular H/F                     ,                         23/04/2023                     
355,34642662,IT Link,CDI,Montpellier - 34,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34642662.html,,,                         Ingénieur Test et Validation Système H/F                     ,                         25/04/2023                     
356,32531721,CS GROUP,CDI,Mérignac - 33,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32531721.html,,,                         Consultant GMAO H/F                     ,                         08/04/2023                     
357,33726124,CS GROUP,CDI,Fontaine - 38,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33726124.html,,,                         Développeur Java Angular H/F                     ,                         03/04/2023                     
358,33726120,CS GROUP,CDI,Lyon 7e - 69,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33726120.html,,,                         Ingénieur d'Études Thermohydraulique H/F                     ,                         03/04/2023                     
359,34358298,Groupe Covéa,CDI,Niort - 79,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34358298.html,,,                         Technicien Études et Reporting H/F                     ,                         18/04/2023                     
360,32888113,IT Link,CDI,Paris - 75,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32888113.html,,,                         Chef de Projet pour la Vidéoprotection H/F                     ,                         15/04/2023                     
361,34046829,Thales,CDI,Sophia-Antipolis - 06,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34046829.html,,,                         Senior Dataengineer H/F                     ,                         11/04/2023                     
362,23565648,Seenovate,CDI,Montpellier - 34,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/23565648.html,,,                         Chef de Projets Data H/F                     ,                         25/04/2023                     
363,23565679,Seenovate,CDI,Lyon - 69,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/23565679.html,,,                         Chef de Projets Data H/F                     ,                         25/04/2023                     
364,23565754,Seenovate,CDI,Rennes - 35,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/23565754.html,,,                         Chef de Projets Data H/F                     ,                         25/04/2023                     
365,23565659,Seenovate,CDI,Paris - 75,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/23565659.html,,,                         Chef de Projets Data H/F                     ,                         25/04/2023                     
366,27750869,Open,CDI,Levallois-Perret - 92,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/27750869.html,,,                         Ingénieur Devops H/F                     ,                         06/04/2023                     
367,34274179,SIA Partners,CDI,Marseille 6e - 13,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34274179.html,,,                         Consultant Junior Banque - Bureau de Marseille H/F                     ,                         17/04/2023                     
368,22216104,Havana IT & Apps,CDI,Lyon - 69,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/22216104.html,,,                         Développeur Full Stack Java - JEE - Lyon Réf Jmv69lyonfsj H/F                     ,                         21/04/2023                     
369,33878400,CS GROUP,CDD,Fontaine - 38,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33878400.html,,,                         Développeur Automatisation Industrielle H/F                     ,                         06/04/2023                     
370,33186208,EY,CDI,Nanterre - 92,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33186208.html,,,                         Consultant Senior & Manager en Data Consulting - Secteur Financier H/F                     ,                         22/04/2023                     
371,33413908,MAGELLIUM,CDI,Toulouse - 31,Télétravail occasionnel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33413908.html,,,                         Responsable Développement Logiciel - Segment Sol - Observation de la Terre H/F                     ,                         27/04/2023                     
372,34339421,Brainpower,CDI,Montbonnot-Saint-Martin - 38,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34339421.html,,,                         Hw Design Team Manager H/F                     ,                         18/04/2023                     
373,33818836,Evoteo Consulting,CDI,Lyon 7e - 69,Télétravail occasionnel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33818836.html,,"
    
    Super recruteur
",                         Data Analyst H/F                     ,                                                                                       05/04/2023                     
374,32405346,Groupama Paris Val de Loire,CDI,Olivet - 45,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32405346.html,,,                         Charge de Projets Data et Pilotage - Olivet 45 H/F                     ,                         06/04/2023                     
375,33853974,CS GROUP,CDI,Toulouse - 31,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33853974.html,,,                         Ingénieur en Modélisation Physique H/F                     ,                         05/04/2023                     
376,33853960,CS GROUP,CDI,Toulouse - 31,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33853960.html,,,                         Ingénieur en Modélisation Système H/F                     ,                         05/04/2023                     
