,id_offre,entreprise,type_contrat,localisation,modalites_de_tetetravail,url,duree_du_contrat,tag recruteur_reactif,titre_job,date_publication
236,34594282,Seyos,                             CDI                         ,Paris 9e - 75,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/34594282.html,,"
    
    Super recruteur
",                         Ingénieur Systèmes et Réseaux H/F                     ,                                                                                       24/04/2023                     
237,34088063,Co-Efficience,                             CDI                         ,Béligneux - 01,Télétravail occasionnel,https://www.hellowork.com/fr-fr/emplois/34088063.html,,,                         Commercial Grands Comptes - Logiciels et Automatisation Logistique H/F                     ,                                                                                       12/04/2023                     
238,34578560,MBH Talents,                             CDI                         ,Cambrai - 59,,https://www.hellowork.com/fr-fr/emplois/34578560.html,,,                         Collaborateur Comptable H/F                     ,                                                                                       24/04/2023                     
239,25997849,SNEF,                             CDI                         ,Marseille 1er - 13,,https://www.hellowork.com/fr-fr/emplois/25997849.html,,,                         Tuyauteur Marseille H/F                     ,                         23/04/2023                     
240,34687094,Orange Business,                             CDI                         ,Rennes - 35,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/34687094.html,,,                         Consultant Technique Servicenow Expérimenté H/F                     ,                         26/04/2023                     
241,31324050,HR Team,                             CDI                         ,Lezennes - 59,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/31324050.html,,,                         Business Analyst H/F                     ,                                                                                       10/04/2023                     
242,31319494,Ameg Technologies,                             CDI                         ,Haguenau - 67,,https://www.hellowork.com/fr-fr/emplois/31319494.html,,,                         Ingénieur Contrôle Commande H/F                     ,                         10/04/2023                     
243,34519644,Lynx RH,                             CDI                         ,Gif-sur-Yvette - 91,,https://www.hellowork.com/fr-fr/emplois/34519644.html,,,                         Product Owner H/F                     ,                                                                                       21/04/2023                     
244,33406363,Manutan,                             CDI                         ,Gonesse - 95,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/33406363.html,,,                         Data Scientist H/F                     ,                         il y a 21 heures                     
245,31598001,Scutum,                             CDI                         ,Lyon - 69,,https://www.hellowork.com/fr-fr/emplois/31598001.html,,"
    
    Super recruteur
",                         Technicien Alarmes Industrie et Bancaire H/F                     ,                                                                                       17/04/2023                     
246,32993008,Scutum,                             CDI                         ,Tours - 37,,https://www.hellowork.com/fr-fr/emplois/32993008.html,,"
    
    Super recruteur
",                         Technicien Systèmes Alarmes et Domotiques H/F                     ,                                                                                       17/04/2023                     
247,32993148,Scutum,                             CDI                         ,Blois - 41,,https://www.hellowork.com/fr-fr/emplois/32993148.html,,"
    
    Super recruteur
",                         Technicien Systèmes Alarmes et Domotiques H/F                     ,                                                                                       17/04/2023                     
248,31597923,Scutum,                             CDI                         ,Saint-Étienne - 42,,https://www.hellowork.com/fr-fr/emplois/31597923.html,,"
    
    Super recruteur
",                         Technicien Alarmes Industrie et Bancaire H/F                     ,                                                                                       17/04/2023                     
